make_model_id,model,make,make_model
1,CL,Acura,Acura_CL
2,Integra,Acura,Acura_Integra
3,Legend,Acura,Acura_Legend
4,MDX,Acura,Acura_MDX
5,NSX,Acura,Acura_NSX
6,RDX,Acura,Acura_RDX
7,RL,Acura,Acura_RL
8,TL,Acura,Acura_TL
9,TSX,Acura,Acura_TSX
10,Vigor,Acura,Acura_Vigor
11,ZDX,Acura,Acura_ZDX
12,164,Alfa Romeo,Alfa Romeo_164
13,Typ-1,Aptera,Aptera_Typ-1
14,DB9,Aston Martin,Aston Martin_DB9
15,Rapide,Aston Martin,Aston Martin_Rapide
16,V12 Vantage,Aston Martin,Aston Martin_V12 Vantage
17,V8 Vantage,Aston Martin,Aston Martin_V8 Vantage
18,Vanquish S,Aston Martin,Aston Martin_Vanquish S
19,Vantage,Aston Martin,Aston Martin_Vantage
20,80,Audi,Audi_80
21,90,Audi,Audi_90
22,4000CS Quattro,Audi,Audi_4000CS Quattro
23,A4,Audi,Audi_A4
24,A5,Audi,Audi_A5
25,A6,Audi,Audi_A6
26,A8,Audi,Audi_A8
27,Cabriolet,Audi,Audi_Cabriolet
28,R8,Audi,Audi_R8
29,RS 4,Audi,Audi_RS 4
30,S4,Audi,Audi_S4
31,S8,Audi,Audi_S8
32,TT,Audi,Audi_TT
33,V8,Audi,Audi_V8
34,Arnage,Bentley,Bentley_Arnage
35,Azure,Bentley,Bentley_Azure
36,Brooklands,Bentley,Bentley_Brooklands
37,Continental,Bentley,Bentley_Continental
38,Continental GT,Bentley,Bentley_Continental GT
39,Mulsanne,Bentley,Bentley_Mulsanne
40,330,BMW,BMW_330
41,525,BMW,BMW_525
42,530,BMW,BMW_530
43,1 Series,BMW,BMW_1 Series
44,3 Series,BMW,BMW_3 Series
45,5 Series,BMW,BMW_5 Series
46,6 Series,BMW,BMW_6 Series
47,7 Series,BMW,BMW_7 Series
48,M,BMW,BMW_M
49,M3,BMW,BMW_M3
50,M5,BMW,BMW_M5
51,M6,BMW,BMW_M6
52,X3,BMW,BMW_X3
53,X5,BMW,BMW_X5
54,X6,BMW,BMW_X6
55,Z4,BMW,BMW_Z4
56,Century,Buick,Buick_Century
57,Coachbuilder,Buick,Buick_Coachbuilder
58,Electra,Buick,Buick_Electra
59,LaCrosse,Buick,Buick_LaCrosse
60,LeSabre,Buick,Buick_LeSabre
61,Lucerne,Buick,Buick_Lucerne
62,Park Avenue,Buick,Buick_Park Avenue
63,Regal,Buick,Buick_Regal
64,Riviera,Buick,Buick_Riviera
65,Roadmaster,Buick,Buick_Roadmaster
66,Skylark,Buick,Buick_Skylark
67,Brougham,Cadillac,Cadillac_Brougham
68,Catera,Cadillac,Cadillac_Catera
69,CTS,Cadillac,Cadillac_CTS
70,CTS-V,Cadillac,Cadillac_CTS-V
71,DeVille,Cadillac,Cadillac_DeVille
72,DTS,Cadillac,Cadillac_DTS
73,Eldorado,Cadillac,Cadillac_Eldorado
74,Escalade,Cadillac,Cadillac_Escalade
75,Escalade EXT,Cadillac,Cadillac_Escalade EXT
76,Fleetwood,Cadillac,Cadillac_Fleetwood
77,Seville,Cadillac,Cadillac_Seville
78,SRX,Cadillac,Cadillac_SRX
79,STS,Cadillac,Cadillac_STS
80,XLR,Cadillac,Cadillac_XLR
81,1500,Chevrolet,Chevrolet_1500
82,Astro,Chevrolet,Chevrolet_Astro
83,Avalanche,Chevrolet,Chevrolet_Avalanche
84,Avalanche 1500,Chevrolet,Chevrolet_Avalanche 1500
85,Aveo,Chevrolet,Chevrolet_Aveo
86,Beretta,Chevrolet,Chevrolet_Beretta
87,Camaro,Chevrolet,Chevrolet_Camaro
88,Cavalier,Chevrolet,Chevrolet_Cavalier
89,Classic,Chevrolet,Chevrolet_Classic
90,Cobalt,Chevrolet,Chevrolet_Cobalt
91,Cobalt SS,Chevrolet,Chevrolet_Cobalt SS
92,Colorado,Chevrolet,Chevrolet_Colorado
93,Corsica,Chevrolet,Chevrolet_Corsica
94,Corvette,Chevrolet,Chevrolet_Corvette
95,Equinox,Chevrolet,Chevrolet_Equinox
96,Express,Chevrolet,Chevrolet_Express
97,Express 1500,Chevrolet,Chevrolet_Express 1500
98,Express 2500,Chevrolet,Chevrolet_Express 2500
99,Express 3500,Chevrolet,Chevrolet_Express 3500
100,G-Series 2500,Chevrolet,Chevrolet_G-Series 2500
101,G-Series G30,Chevrolet,Chevrolet_G-Series G30
102,Impala,Chevrolet,Chevrolet_Impala
103,Lumina,Chevrolet,Chevrolet_Lumina
104,Malibu,Chevrolet,Chevrolet_Malibu
105,Monte Carlo,Chevrolet,Chevrolet_Monte Carlo
106,S10,Chevrolet,Chevrolet_S10
107,Silverado,Chevrolet,Chevrolet_Silverado
108,Silverado 1500,Chevrolet,Chevrolet_Silverado 1500
109,Silverado 3500,Chevrolet,Chevrolet_Silverado 3500
110,Sonic,Chevrolet,Chevrolet_Sonic
111,Sportvan G20,Chevrolet,Chevrolet_Sportvan G20
112,SSR,Chevrolet,Chevrolet_SSR
113,Suburban 1500,Chevrolet,Chevrolet_Suburban 1500
114,Tahoe,Chevrolet,Chevrolet_Tahoe
115,Tracker,Chevrolet,Chevrolet_Tracker
116,TrailBlazer,Chevrolet,Chevrolet_TrailBlazer
117,Venture,Chevrolet,Chevrolet_Venture
118,Aspen,Chrysler,Chrysler_Aspen
119,Cirrus,Chrysler,Chrysler_Cirrus
120,Concorde,Chrysler,Chrysler_Concorde
121,Crossfire,Chrysler,Chrysler_Crossfire
122,Imperial,Chrysler,Chrysler_Imperial
123,LHS,Chrysler,Chrysler_LHS
124,Town & Country,Chrysler,Chrysler_Town & Country
125,Lanos,Daewoo,Daewoo_Lanos
126,Leganza,Daewoo,Daewoo_Leganza
127,Avenger,Dodge,Dodge_Avenger
128,Caliber,Dodge,Dodge_Caliber
129,Charger,Dodge,Dodge_Charger
130,Colt,Dodge,Dodge_Colt
131,Dakota Club,Dodge,Dodge_Dakota Club
132,Daytona,Dodge,Dodge_Daytona
133,Durango,Dodge,Dodge_Durango
134,Grand Caravan,Dodge,Dodge_Grand Caravan
135,Journey,Dodge,Dodge_Journey
136,Neon,Dodge,Dodge_Neon
137,Nitro,Dodge,Dodge_Nitro
138,Omni,Dodge,Dodge_Omni
139,Ram 1500,Dodge,Dodge_Ram 1500
140,Ram 2500,Dodge,Dodge_Ram 2500
141,Ram 2500 Club,Dodge,Dodge_Ram 2500 Club
142,Ram 3500,Dodge,Dodge_Ram 3500
143,Ram Van 1500,Dodge,Dodge_Ram Van 1500
144,Ram Van 3500,Dodge,Dodge_Ram Van 3500
145,Ram Wagon B350,Dodge,Dodge_Ram Wagon B350
146,Ramcharger,Dodge,Dodge_Ramcharger
147,Spirit,Dodge,Dodge_Spirit
148,Stratus,Dodge,Dodge_Stratus
149,Viper,Dodge,Dodge_Viper
150,Summit,Eagle,Eagle_Summit
151,Talon,Eagle,Eagle_Talon
152,458 Italia,Ferrari,Ferrari_458 Italia
153,599 GTB Fiorano,Ferrari,Ferrari_599 GTB Fiorano
154,California,Ferrari,Ferrari_California
155,F430,Ferrari,Ferrari_F430
156,Aerostar,Ford,Ford_Aerostar
157,Bronco,Ford,Ford_Bronco
158,Bronco II,Ford,Ford_Bronco II
159,Contour,Ford,Ford_Contour
160,Crown Victoria,Ford,Ford_Crown Victoria
161,E150,Ford,Ford_E150
162,E250,Ford,Ford_E250
163,E350,Ford,Ford_E350
164,Econoline E250,Ford,Ford_Econoline E250
165,Econoline E350,Ford,Ford_Econoline E350
166,Escape,Ford,Ford_Escape
167,Escort,Ford,Ford_Escort
168,E-Series,Ford,Ford_E-Series
169,Excursion,Ford,Ford_Excursion
170,EXP,Ford,Ford_EXP
171,Expedition,Ford,Ford_Expedition
172,Expedition EL,Ford,Ford_Expedition EL
173,Explorer,Ford,Ford_Explorer
174,Explorer Sport Trac,Ford,Ford_Explorer Sport Trac
175,F150,Ford,Ford_F150
176,F250,Ford,Ford_F250
177,F350,Ford,Ford_F350
178,F450,Ford,Ford_F450
179,Falcon,Ford,Ford_Falcon
180,Festiva,Ford,Ford_Festiva
181,Fiesta,Ford,Ford_Fiesta
182,Five Hundred,Ford,Ford_Five Hundred
183,Flex,Ford,Ford_Flex
184,Focus,Ford,Ford_Focus
185,Freestar,Ford,Ford_Freestar
186,F-Series,Ford,Ford_F-Series
187,F-Series Super Duty,Ford,Ford_F-Series Super Duty
188,Fusion,Ford,Ford_Fusion
189,Galaxie,Ford,Ford_Galaxie
190,Laser,Ford,Ford_Laser
191,LTD,Ford,Ford_LTD
192,LTD Crown Victoria,Ford,Ford_LTD Crown Victoria
193,Mustang,Ford,Ford_Mustang
194,Ranger,Ford,Ford_Ranger
195,Taurus,Ford,Ford_Taurus
196,Tempo,Ford,Ford_Tempo
197,Thunderbird,Ford,Ford_Thunderbird
